CHR	BP_START_HG38	BP_END_HG38	SAMTOOLS_START_HG38	SAMTOOLS_END_HG38	IBD2R	GENE
5	178883566	178884221	178883641	178884146	0.3118	ZNF354B
5	179550611	179550636	179550611	179550636	0.2810	RUFY1
5	179642795	179643018	179642870	179642943	0.3248	C5orf60
6	349199	349238	349199	349238	0.4049	DUSP22
6	3850080	3850125	3850080	3850125	0.2537	FAM50B
6	26055811	26055858	26055811	26055858	0.3317	HIST1H1C
6	29792566	29792606	29792566	29792606	0.6726	HCG4,HLA-V
6	30949298	30951921	30949373	30951846	0.2964	MUCL3
6	30951952	30952165	30952027	30952090	0.2590	MUCL3
6	30986289	30987497	30986364	30987422	0.4705	MUC21
6	30986487	30987490	30986487	30987490	0.4960	MUC21
6	31025491	31025754	31025491	31025754	0.4206	MUC22
6	31025571	31025595	31025571	31025595	0.3034	MUC22
6	31025688	31025826	31025688	31025826	0.4508	MUC22
6	31025948	31029989	31025948	31029989	0.5700	MUC22
6	31138658	31138711	31138658	31138711	0.3321	PSORS1C1
6	31997311	31997340	31997311	31997340	0.6573	C4A
6	32030048	32030077	32030048	32030077	0.8263	C4B
6	32038424	32038461	32038424	32038461	0.8823	CYP21A2
6	32041019	32041052	32041019	32041052	0.5470	CYP21A2
6	32293203	32293774	32293203	32293774	0.2601	C6orf10
6	32293702	32293788	32293702	32293788	0.2692	C6orf10
6	32757791	32757832	32757791	32757832	0.7071	HLA-DQB2
6	44250332	44250380	44250332	44250380	0.4455	HSP90AB1
6	81752011	81752072	81752011	81752072	0.6190	TENT5A
6	109270329	109270361	109270329	109270361	0.3655	CCDC162P
6	139135490	139135652	139135565	139135577	0.2654	HECA
6	143189398	143189440	143189398	143189440	0.3604	AIG1
6	159239748	159239789	159239748	159239789	0.7463	FNDC1
6	160605062	160647661	160605137	160647586	0.9182	LPA
6	167951656	167951695	167951656	167951695	0.3089	AFDN
6	167976168	167976621	167976243	167976546	0.5769	HGC6.3
6	168029517	168029722	168029517	168029722	0.6617	KIF25
6	168038715	168038786	168038715	168038786	0.3391	KIF25
6	168064933	168064969	168064933	168064969	0.3961	FRMD1
6	168065365	168065444	168065365	168065444	0.5437	FRMD1
6	168065636	168065805	168065636	168065805	0.5687	FRMD1
6	168078671	168078891	168078671	168078891	0.3554	FRMD1
6	168078837	168078899	168078837	168078899	0.3152	FRMD1
6	169664851	169665154	169664926	169665079	0.8906	WDR27
7	1000237	1000471	1000312	1000396	0.2621	C7orf50
7	6621450	6621687	6621450	6621687	0.2684	ZNF853
7	37920655	37920704	37920655	37920704	0.5446	EPDR1
7	44007574	44007630	44007574	44007630	0.3974	AC004951.1,SPDYE1
7	45083386	45084449	45083461	45084374	0.4480	NACAD
7	50492685	50492713	50492685	50492713	0.7909	DDC
7	56811649	56811709	56811649	56811709	0.2972	AC118758.3
7	56832206	56832300	56832206	56832300	0.3366	AC118758.3
7	56832567	56833004	56832642	56832929	0.4660	AC118758.3
7	64077495	64079269	64077495	64079269	0.4243	ZNF727
7	64219657	64220472	64219657	64220472	0.2645	ZNF735
7	64266152	64266962	64266152	64266962	0.4562	ZNF679
7	64266235	64267083	64266235	64267083	0.4404	ZNF679
7	64348369	64349166	64348369	64349166	0.4097	ZNF736
7	64521093	64522208	64521168	64522133	0.4076	ZNF680
7	64706676	64709441	64706676	64709441	0.5057	ZNF107
7	72925635	72925687	72925635	72925687	0.3104	POM121
7	74053273	74053312	74053273	74053312	0.2566	ELN
7	74056348	74056424	74056348	74056424	0.3640	ELN
7	75494516	75497337	75494516	75497337	0.5974	SPDYE5
7	75501430	75501717	75501505	75501642	0.3771	SPDYE5
7	83155136	83155662	83155211	83155587	0.2680	PCLO
7	100308203	100315286	100308203	100315286	0.7417	SPDYE3
7	100314529	100314567	100314529	100314567	0.9351	SPDYE3
7	100958796	100958872	100958796	100958872	0.4625	MUC3A
7	100990920	101004942	100990995	101004867	0.9401	MUC12
7	100991479	100991720	100991479	100991720	0.8707	MUC12
7	100991790	101005471	100991790	101005471	0.9402	MUC12
7	100994276	100995872	100994351	100995797	0.9205	MUC12
7	100996103	100999400	100996178	100999325	0.9353	MUC12
7	100998947	101000578	100998947	101000578	0.9201	MUC12
7	101002196	101003827	101002271	101003752	0.9640	MUC12
7	101003619	101004781	101003619	101004781	0.9326	MUC12
7	101031805	101043067	101031880	101042992	0.5606	MUC17
7	102348370	102348610	102348370	102348610	0.9446	SPDYE6
7	102539617	102539666	102539617	102539666	0.9103	AC093668.2
7	102560667	102560952	102560667	102560952	0.9279	SPDYE2
7	102638725	102638774	102638725	102638774	0.9034	AC105052.1
7	102659757	102660042	102659757	102660042	0.9307	SPDYE2B
7	102660071	102660127	102660071	102660127	0.8679	SPDYE2B
7	122013291	122013337	122013291	122013337	0.4397	PTPRZ1
7	128947291	128947357	128947291	128947357	0.3742	IRF5
7	149070631	149071020	149070631	149071020	0.3797	ZNF786
7	149070639	149071183	149070639	149071183	0.4208	ZNF786
7	149070884	149071235	149070884	149071235	0.3963	ZNF786
7	149070955	149071340	149070955	149071340	0.3749	ZNF786
7	157620857	157621377	157620857	157621377	0.3431	PTPRN2
7	158667330	158668404	158667405	158668329	0.8556	NCAPG2
8	406999	407437	407074	407362	0.5336	FBXO25
8	544570	544655	544570	544655	0.4265	TDRP
8	6935948	6936111	6935948	6936111	0.3217	DEFA4
8	7357866	7358367	7357866	7358367	0.8790	ZNF705G
8	7952000	7952501	7952000	7952501	0.9040	ZNF705B
8	10607386	10608001	10607461	10607926	0.3298	RP1L1
8	10608254	10608538	10608329	10608463	0.2590	RP1L1
8	10609933	10610205	10610008	10610130	0.9251	RP1L1
8	12112767	12113268	12112767	12113268	0.9584	ZNF705D
8	13010917	13010946	13010917	13010946	0.3091	TRMT9B
8	23116758	23116936	23116833	23116861	0.4465	TNFRSF10C
8	27671539	27671783	27671539	27671783	0.4415	SCARA3
8	51413129	51413167	51413129	51413167	0.2560	PXDNL
8	124977454	124977678	124977454	124977678	0.3070	ZNF572
8	143858046	143866608	143858046	143866608	0.9303	EPPK1
8	143858081	143868334	143858081	143868334	0.9150	EPPK1
9	41128251	41128290	41128251	41128290	0.5330	FOXD4L6
9	41953202	41953249	41953202	41953249	0.5706	CNTNAP3B
9	42185002	42185072	42185002	42185072	0.6234	SPATA31A6
9	60915756	60915826	60915756	60915826	0.5316	SPATA31A5
9	61191386	61191456	61191386	61191456	0.4724	SPATA31A7
9	64369527	64369583	64369527	64369583	0.4738	ANKRD20A4
9	66919079	66920688	66919154	66920613	0.6130	ZNF658
9	66991128	66991198	66991128	66991198	0.3617	SPATA31A3
9	68303045	68303084	68303045	68303084	0.5584	FOXD4L3
9	81931801	81931851	81931801	81931851	0.7706	SPATA31D4
9	81932862	81932915	81932862	81932915	0.8558	SPATA31D4
9	81946893	81946943	81946893	81946943	0.7482	SPATA31D3
9	81947959	81948005	81947959	81948005	0.5511	SPATA31D3
9	95507336	95507392	95507336	95507392	0.2585	AL161729.1,PTCH1
9	127809833	127809869	127809833	127809869	0.2649	FPGS
9	130429617	130429671	130429617	130429671	0.5253	HMCN2
9	130429628	130429800	130429628	130429800	0.7637	HMCN2
9	133071170	133071728	133071170	133071728	0.6992	CEL
9	133332616	133332658	133332616	133332658	0.4655	SURF6
9	136355011	136355557	136355086	136355482	0.5354	GPSM1
9	136755737	136756460	136755812	136756385	0.4512	LCN8
9	136802773	136803315	136802848	136803240	0.6487	AL355987.2
9	137050045	137050301	137050120	137050226	0.3970	ENTPD2
9	137114056	137114278	137114131	137114203	0.4620	DPP7
9	137161186	137161250	137161186	137161250	0.2780	GRIN1
10	37831634	37832249	37831634	37832249	0.3146	ZNF248
10	45847487	45847529	45847487	45847529	0.4399	AGAP4
10	45847748	45847806	45847748	45847806	0.4587	AGAP4
10	46309138	46309172	46309138	46309172	0.7335	ANTXRL
10	46311531	46311587	46311531	46311587	0.6257	ANTXRL
10	46329639	46329939	46329639	46329939	0.8886	ANTXRL
10	46588669	46588712	46588669	46588712	0.7616	SYT15
10	71296697	71297096	71296697	71297096	0.3763	UNC5B
10	79710420	79710552	79710420	79710552	0.7008	NUTM2B
10	87232649	87232753	87232649	87232753	0.5915	NUTM2A
10	101010537	101010575	101010537	101010575	0.2829	PDZD7
10	102869498	102869609	102869498	102869609	0.6173	AS3MT
10	122570305	122573866	122570305	122573866	0.2545	DMBT1
10	122599445	122617454	122599445	122617454	0.9666	DMBT1
10	132140570	132140691	132140570	132140691	0.6136	JAKMIP3
10	133291221	133292507	133291296	133292432	0.7565	TUBGCP2
11	639989	640194	640064	640119	0.4687	DRD4
11	1016562	1017633	1016562	1017633	0.7606	MUC6
11	1016960	1018305	1017035	1018230	0.8158	MUC6
11	1017467	1017796	1017467	1017796	0.8670	MUC6
11	1095550	1099710	1095625	1099635	0.4604	MUC2
11	1096684	1099758	1096759	1099683	0.4867	MUC2
11	1242557	1246010	1242632	1245935	0.4171	MUC5B,MUC5B-AS1
11	1242557	1246923	1242632	1246848	0.4525	MUC5B,MUC5B-AS1
11	1242672	1251440	1242747	1251365	0.2827	MUC5B,MUC5B-AS1
11	1243041	1243209	1243041	1243209	0.6897	MUC5B
11	1243277	1243472	1243277	1243472	0.9021	MUC5B
11	1243693	1243746	1243693	1243746	0.8920	MUC5B
11	1244136	1244342	1244136	1244342	0.4183	MUC5B
11	1244948	1245143	1244948	1245143	0.4099	MUC5B
11	1245818	1246822	1245893	1246747	0.4086	MUC5B
11	1246165	1246485	1246240	1246410	0.4138	MUC5B
11	1246231	1249702	1246306	1249627	0.3841	MUC5B,MUC5B-AS1
11	1246231	1250135	1246306	1250060	0.3459	MUC5B,MUC5B-AS1
11	1246812	1246980	1246812	1246980	0.6532	MUC5B
11	1247048	1247243	1247048	1247243	0.8187	MUC5B
11	1247907	1248113	1247907	1248113	0.7360	MUC5B
11	1248483	1248651	1248483	1248651	0.5101	MUC5B
11	1248746	1248914	1248746	1248914	0.3099	MUC5B
11	1249936	1250297	1250011	1250222	0.3587	MUC5B
11	1250740	1250777	1250740	1250777	0.4137	MUC5B
11	1250918	1251147	1250918	1251147	0.5691	MUC5B
11	1251198	1251491	1251198	1251491	0.4373	MUC5B
11	1584639	1585056	1584714	1584981	0.4812	KRTAP5-1
11	1584654	1585162	1584729	1585087	0.3721	KRTAP5-1
11	1584816	1584864	1584816	1584864	0.2711	KRTAP5-1
11	1584891	1585055	1584891	1585055	0.5941	KRTAP5-1
11	1607699	1607924	1607774	1607849	0.7387	KRTAP5-3
11	1607786	1608039	1607786	1608039	0.6083	KRTAP5-3
11	1621958	1622091	1621958	1622091	0.6221	KRTAP5-4
11	1629898	1630016	1629898	1630016	0.7931	KRTAP5-5
11	1630022	1630070	1630022	1630070	0.3798	KRTAP5-5
11	1630095	1630289	1630095	1630289	0.4359	KRTAP5-5
11	1630299	1630509	1630299	1630509	0.6074	KRTAP5-5
11	1956359	1956563	1956359	1956563	0.3937	MRPL23
11	2407078	2407146	2407078	2407146	0.3239	TRPM5
11	6655841	6655906	6655841	6655906	0.3050	DCHS1
11	68892052	68892686	68892127	68892611	0.7520	MRPL21
11	71527401	71527449	71527401	71527449	0.3827	KRTAP5-7
11	71538135	71538183	71538135	71538183	0.4379	KRTAP5-8
11	71538370	71538588	71538445	71538513	0.8551	KRTAP5-8
11	71582745	71582835	71582745	71582835	0.2544	KRTAP5-11
11	71816402	71816838	71816402	71816838	0.6497	ZNF705E
11	71816657	71816903	71816657	71816903	0.6491	ZNF705E
11	77903273	77903631	77903348	77903556	0.3727	INTS4
11	124880544	124880582	124880544	124880582	0.2569	ROBO3
11	124986740	124986774	124986740	124986774	0.5304	CCDC15
12	67100	67139	67100	67139	0.2843	IQSEC3
12	258966	259445	259041	259370	0.6632	SLC6A13
12	2939532	2939815	2939607	2939740	0.7027	TULP3
12	7190513	7190645	7190513	7190645	0.3528	PEX5
12	7794763	7794886	7794763	7794886	0.4397	NANOG
12	8177257	8177693	8177257	8177693	0.6573	ZNF705A
12	10882287	10882585	10882362	10882510	0.8221	AC006518.7,PRH1
12	10882333	10882480	10882333	10882480	0.4983	AC006518.7,PRH1
12	10882482	10882582	10882482	10882582	0.8673	AC006518.7,PRH1
12	10930813	10930896	10930813	10930896	0.6782	PRH2
12	11267302	11268161	11267377	11268086	0.6703	PRB3
12	11267437	11268044	11267512	11267969	0.7232	PRB3
12	11308351	11308900	11308426	11308825	0.4820	PRB4
12	11353300	11354004	11353300	11354004	0.9351	PRB1
12	11392928	11393983	11392928	11393983	0.6413	PRB2
12	11393087	11393182	11393087	11393182	0.6078	PRB2
12	11393459	11393554	11393459	11393554	0.5628	PRB2
12	12477732	12477758	12477732	12477758	0.2794	DUSP16
12	40479512	40480010	40479587	40479935	0.4637	MUC19
12	40480051	40481193	40480051	40481193	0.7188	MUC19
12	40481477	40481941	40481477	40481941	0.9333	MUC19
12	52451724	52451800	52451724	52451800	0.6317	KRT6B
12	52473383	52473459	52473383	52473459	0.4833	KRT6C
12	52651772	52651826	52651772	52651826	0.2919	KRT2
12	52675415	52675557	52675415	52675557	0.3098	KRT1
12	56717774	56718209	56717849	56718134	0.5204	NACA
12	108623526	108623961	108623601	108623886	0.5148	SELPLG
12	108623899	108623944	108623899	108623944	0.3931	SELPLG
12	111362899	111363018	111362899	111363018	0.2991	PHETA1
12	124911751	124913720	124911826	124913645	0.4562	UBC
12	132148891	132150764	132148966	132150689	0.3048	NOC4L
12	132262608	132262838	132262683	132262763	0.5824	GALNT9
12	132490723	132490775	132490723	132490775	0.3561	FBRSL1
12	132509357	132509487	132509357	132509487	0.4044	FBRSL1
12	132509592	132509626	132509592	132509626	0.5190	FBRSL1
12	132509636	132509729	132509636	132509729	0.5344	FBRSL1
12	132510088	132510154	132510088	132510154	0.4241	FBRSL1
12	132606052	132606153	132606052	132606153	0.3026	LRCOL1
12	132776151	132776654	132776226	132776579	0.9311	GOLGA3
13	45596262	45596852	45596337	45596777	0.3657	ERICH6B
13	45596431	45596852	45596506	45596777	0.4077	ERICH6B
13	57139163	57175921	57139163	57175921	0.9736	PRR20A,PRR20B,PRR20C,PRR20D,PRR20E,PRR20FP
13	113096606	113096635	113096606	113096635	0.2508	MCF2L
13	113117586	113117810	113117661	113117735	0.7368	F7
13	113403860	113404247	113403860	113404247	0.5905	ADPRHL1
13	113403933	113403970	113403933	113403970	0.8780	ADPRHL1
13	113403961	113404686	113403961	113404686	0.3530	ADPRHL1
13	113403961	113404824	113403961	113404824	0.3495	ADPRHL1
13	113404037	113404271	113404112	113404196	0.5970	ADPRHL1
13	113800903	113801061	113800978	113800986	0.6047	TMEM255B
13	113833570	113834253	113833645	113834178	0.4701	GAS6,GAS6-AS1
13	114017328	114017370	114017328	114017370	0.2778	RASA3
14	18967543	18967860	18967543	18967860	0.8614	POTEM
14	19433915	19434232	19433915	19434232	0.9284	POTEG
14	19434046	19434226	19434046	19434226	0.9250	POTEG
14	23390413	23390437	23390413	23390437	0.5430	MYH6
14	23420201	23420225	23420201	23420225	0.6892	MYH7
14	23524787	23524841	23524787	23524841	0.2501	ZFHX2
14	24369696	24369720	24369696	24369720	0.3488	NFATC4
14	36679954	36680003	36679954	36680003	0.3736	SLC25A21
14	44504852	44504959	44504852	44504959	0.4093	FSCB
14	44504952	44505166	44504952	44505166	0.4730	FSCB
14	44505143	44505736	44505143	44505736	0.3186	FSCB
14	44505160	44505191	44505160	44505191	0.3180	FSCB
14	55138222	55138274	55138222	55138274	0.3271	LGALS3
14	73537819	73537855	73537819	73537855	0.9416	ACOT1
14	93779203	93779252	93779203	93779252	0.2528	PRIMA1
14	100239402	100239441	100239402	100239441	0.2520	YY1
14	104729511	104729892	104729511	104729892	0.5508	ADSSL1
14	104941568	104953442	104941643	104953367	0.8062	AHNAK2
14	104942534	104942563	104942534	104942563	0.2926	AHNAK2
14	104945669	104945727	104945669	104945727	0.9241	AHNAK2
14	104945999	104946028	104945999	104946028	0.9605	AHNAK2
14	104946233	104946269	104946233	104946269	0.8321	AHNAK2
14	104948969	104948998	104948969	104948998	0.9564	AHNAK2
14	104949134	104949207	104949134	104949207	0.9502	AHNAK2
14	104949959	104949988	104949959	104949988	0.8648	AHNAK2
14	104950129	104950198	104950129	104950198	0.8951	AHNAK2
14	104950454	104950483	104950454	104950483	0.8619	AHNAK2
14	104950607	104950652	104950607	104950652	0.8934	AHNAK2
14	104951132	104951195	104951132	104951195	0.9375	AHNAK2
14	104951444	104951473	104951444	104951473	0.9599	AHNAK2
14	104951627	104951682	104951627	104951682	0.9310	AHNAK2
14	104952099	104952178	104952099	104952178	0.3921	AHNAK2
14	104952434	104952463	104952434	104952463	0.5778	AHNAK2
14	104952662	104952717	104952662	104952717	0.6251	AHNAK2
14	104952929	104952958	104952929	104952958	0.5899	AHNAK2
14	104953099	104953147	104953099	104953147	0.3736	AHNAK2
15	20534222	20535578	20534222	20535578	0.7010	GOLGA6L6
15	20541600	20541696	20541600	20541696	0.3311	GOLGA6L6
15	20866018	20866224	20866093	20866149	0.6339	POTEB2
15	21439637	21439954	21439712	21439879	0.8966	POTEB3
15	22459007	22459121	22459007	22459121	0.6395	GOLGA6L22
15	22465134	22466873	22465209	22466798	0.8488	GOLGA6L22
15	22768030	22770848	22768105	22770773	0.8115	AC011767.1
15	23129433	23130561	23129433	23130561	0.9146	GOLGA6L1
15	23334068	23334128	23334068	23334128	0.5348	AC100756.3
15	26716753	26717358	26716753	26717358	0.7361	GABRB3
15	28705534	28705596	28705534	28705596	0.7776	GOLGA8M
15	30089843	30089924	30089843	30089924	0.7867	GOLGA8J
15	30610909	30610990	30610909	30610990	0.6839	GOLGA8H
15	32396338	32396400	32396338	32396400	0.4903	GOLGA8K
15	32448674	32448755	32448674	32448755	0.7326	GOLGA8O
15	32600326	32600407	32600326	32600407	0.6067	GOLGA8N
15	34038900	34038937	34038900	34038937	0.4961	AVEN
15	34382829	34382909	34382829	34382909	0.6452	GOLGA8A
15	34384004	34384047	34384004	34384047	0.3357	GOLGA8A
15	34529056	34529130	34529056	34529130	0.6549	GOLGA8B
15	34530225	34530268	34530225	34530268	0.4039	GOLGA8B
15	40356106	40356275	40356106	40356275	0.5561	PHGR1
15	40418563	40418647	40418563	40418647	0.4318	IVD
15	40553984	40554030	40553984	40554030	0.5349	CCDC32
15	41578165	41578201	41578165	41578201	0.3796	TYRO3
15	43361138	43361333	43361138	43361333	0.2517	ZSCAN29
15	64046323	64046408	64046323	64046408	0.3845	DAPK2
15	72662497	72662693	72662497	72662693	0.9216	GOLGA6B
15	74074560	74074722	74074560	74074722	0.7763	GOLGA6A
15	74074560	74074829	74074560	74074829	0.7963	GOLGA6A
15	75266351	75266546	75266351	75266546	0.8268	GOLGA6C
15	75290626	75290822	75290626	75290822	0.8310	GOLGA6D
15	82344644	82344909	82344644	82344909	0.9115	GOLGA6L10
15	82344648	82345267	82344648	82345267	0.9127	GOLGA6L10
15	82344786	82344909	82344786	82344909	0.9009	GOLGA6L10
15	82344888	82345272	82344888	82345272	0.8844	GOLGA6L10
15	82434335	82434542	82434410	82434467	0.7611	GOLGA6L9
15	84239942	84240305	84239942	84240305	0.8195	GOLGA6L4
15	84240320	84240583	84240320	84240583	0.9147	GOLGA6L4
15	84240320	84240721	84240395	84240646	0.9356	GOLGA6L4
15	85244997	85245264	85244997	85245264	0.7039	GOLGA6L3
15	85244998	85245159	85244998	85245159	0.5624	GOLGA6L3
15	85245115	85245207	85245115	85245207	0.5739	GOLGA6L3
15	88855425	88857365	88855500	88857290	0.6567	ACAN
15	88855508	88856962	88855583	88856887	0.6875	ACAN
15	89632645	89632833	89632645	89632833	0.3057	KIF7
15	101737161	101737208	101737161	101737208	0.3152	AC027559.1
16	1397264	1397848	1397339	1397773	0.5461	UNKL
16	4687483	4687600	4687483	4687600	0.7251	MGRN1
16	14726027	14726287	14726027	14726287	0.8690	NPIPA3
16	14765147	14765390	14765147	14765390	0.8579	NPIPA2
16	14951759	14952019	14951759	14952019	0.8872	NPIPA1
